date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:55	296/296	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2008:23:54%20GMT	http://localhost/robots.txt		(from )
16:24:00	104311/104311	---MC-	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2008:23:55%20GMT	http://localhost/bsu-open%20university/	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/index.html	(from )
16:24:01	5842/5842	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2008:24:01%20GMT	https://gmpg.org/xfn/11	C:/My%20Web%20Sites/BSU-Open%20University/gmpg.org/xfn/11.html	(from http://localhost/bsu-open%20university/)
16:24:02	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2008:24:02%20GMT	http://fonts.googleapis.com/	C:/My%20Web%20Sites/BSU-Open%20University/fonts.googleapis.com/index.html	(from http://localhost/bsu-open%20university/)
16:24:02	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2003%20Apr%202023%2008:24:01%20GMT	http://localhost/bsu-open%20university/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-admin/admin-ajax.1.delayed	(from http://localhost/bsu-open%20university/)
16:24:03	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Mon,%2003%20Apr%202023%2008:24:02%20GMT	http://use.fontawesome.com/	C:/My%20Web%20Sites/BSU-Open%20University/use.fontawesome.com/index.html	(from http://localhost/bsu-open%20university/)
16:24:03	6637/6637	---M--	200	added ('OK')	application/rss+xml	etag:%224c2fe24cb2883cefbfbc092a072354a0%22	http://localhost/bsu-open%20university/index.php/feed/	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/index.php/feed/index.html	(from http://localhost/bsu-open%20university/)
16:24:03	59016/59016	---M--	200	added ('OK')	text/css	etag:%22e688-5bca85cdbf580%22	http://localhost/bsu-open%20university/wp-includes/css/dashicons.min.css?ver=6.2	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-includes/css/dashicons.minae48.css	(from http://localhost/bsu-open%20university/)
16:24:05	948/948	---M--	200	added ('OK')	text/calendar	date:Mon,%2003%20Apr%202023%2008:24:03%20GMT	http://localhost/bsu-open%20university/index.php/events/?ical=1	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/index.php/events/indexedf3.html	(from http://localhost/bsu-open%20university/)
16:24:05	815/815	---M--	200	added ('OK')	text/css	etag:%2232f-5f867ac57b671%22	http://localhost/bsu-open%20university/wp-content/plugins/menu-icons/css/extra.min.css?ver=0.13.5	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/plugins/menu-icons/css/extra.min1bd9.css	(from http://localhost/bsu-open%20university/)
16:24:05	830/830	---M--	200	added ('OK')	application/rss+xml	etag:%224c2fe24cb2883cefbfbc092a072354a0%22	http://localhost/bsu-open%20university/index.php/comments/feed/	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/index.php/comments/feed/index.html	(from http://localhost/bsu-open%20university/)
16:24:05	97517/97517	---M--	200	added ('OK')	text/css	etag:%2217ced-5f812f84178be%22	http://localhost/bsu-open%20university/wp-includes/css/dist/block-library/style.min.css?ver=6.2	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-includes/css/dist/block-library/style.minae48.css	(from http://localhost/bsu-open%20university/)
16:24:07	23488/23488	---M--	200	added ('OK')	text/css	etag:%225bc0-5f81365b29081%22	http://localhost/bsu-open%20university/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.build.css?ver=1680137077	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.build987f.css	(from http://localhost/bsu-open%20university/)
16:24:07	291/291	---M--	200	added ('OK')	text/css	etag:%22123-5f812f8414f60%22	http://localhost/bsu-open%20university/wp-includes/css/classic-themes.min.css?ver=6.2	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-includes/css/classic-themes.minae48.css	(from http://localhost/bsu-open%20university/)
16:24:07	35471/35471	---M--	200	added ('OK')	text/css	etag:%228a8f-5f772cc320bcb%22	http://localhost/bsu-open%20university/wp-content/plugins/blog-designer//admin/css/fontawesome-all.min.css?ver=1.0	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/plugins/blog-designer/admin/css/fontawesome-all.min5152.css	(from http://localhost/bsu-open%20university/)
16:24:08	84734/84734	---M--	200	added ('OK')	text/css	etag:%2214afe-5f772cc32cf23%22	http://localhost/bsu-open%20university/wp-content/plugins/blog-designer/public/css/designer_css.css?ver=1.0	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/plugins/blog-designer/public/css/designer_css5152.css	(from http://localhost/bsu-open%20university/)
16:24:10	23696/23696	---M--	200	added ('OK')	text/css	etag:%225c90-5f81365af2631%22	http://localhost/bsu-open%20university/wp-content/plugins/embedpress/assets/css/embedpress.css?ver=6.2	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/plugins/embedpress/assets/css/embedpressae48.css	(from http://localhost/bsu-open%20university/)
16:24:10	1088/1088	---MC-	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202023%2008:24:10%20GMT	https://fonts.googleapis.com/css?family=Lato%3A400%2C500%2C600%2C700%7CPoppins%3A400%2C500%2C600%2C700&ver=2.6.2	C:/My%20Web%20Sites/BSU-Open%20University/fonts.googleapis.com/cssdfc0.css	(from http://localhost/bsu-open%20university/)
16:24:10	322/322	---M--	200	added ('OK')	text/css	etag:%22142-5f867a297e28a%22	http://localhost/bsu-open%20university/wp-content/plugins/wp-menu-icons/build/frontend/css/style.css?ver=3.0.1	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/plugins/wp-menu-icons/build/frontend/css/style41fe.css	(from http://localhost/bsu-open%20university/)
16:24:10	212714/212714	---M--	200	added ('OK')	text/css	etag:%2233eea-5f681247d59d4%22	http://localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/bootstrap.css?ver=6.2	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/bootstrapae48.css	(from http://localhost/bsu-open%20university/)
16:24:12	38759/38759	---M--	200	added ('OK')	text/css	etag:%229767-5f681247d5dbb%22	http://localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/font-awesome.css?ver=6.2	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/font-awesomeae48.css	(from http://localhost/bsu-open%20university/)
16:24:12	7222/7222	---M--	200	added ('OK')	text/css	etag:%221c36-5f681247d61a3%22	http://localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/meanmenu.css?ver=6.2	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/meanmenuae48.css	(from http://localhost/bsu-open%20university/)
16:24:13	7412/7412	---M--	200	added ('OK')	text/css	etag:%221cf4-5f681247d61a3%22	http://localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/responsive.css?ver=6.2	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/responsiveae48.css	(from http://localhost/bsu-open%20university/)
16:24:14	16699/16699	---M--	200	added ('OK')	text/css	etag:%22413b-5f681247d59d4%22	http://localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/custom.css?ver=6.2	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/themes/blogwaves/assets/css/customae48.css	(from http://localhost/bsu-open%20university/)
16:24:15	36662/36662	---M--	200	added ('OK')	text/css	etag:%228f36-5f681247ec161%22	http://localhost/bsu-open%20university/wp-content/themes/blogwaves/style.css?ver=1.0.0	C:/My%20Web%20Sites/BSU-Open%20University/localhost/bsu-open%20university/wp-content/themes/blogwaves/style8a54.css	(from http://localhost/bsu-open%20university/)
